"","value"
"SCT_0001",5.14540925186434
"SCT_0002",5.13224996431095
"SCT_0003",5.22821768083444
"SCT_0004",5.2429113981724
"SCT_0005",6.41738288873791
"SCT_0006",5.77198255323472
"SCT_0007",6.49115002400398
"SCT_0008",6.02553695613662
"SCT_0009",6.35185051767275
"SCT_0010",6.22508371752927
"SCT_0011",5.88032597220592
"SCT_0012",6.09470294006149
"SCT_0013",6.33477599824821
"SCT_0014",5.39429093146724
"SCT_0015",6.37615446240697
"SCT_0016",5.43488170588865
"SCT_0017",5.7167012789857
"SCT_0018",6.12257602002807
"SCT_0019",4.78363742834207
"SCT_0020",5.2402875243755
"SCT_0021",4.77482090928575
"SCT_0022",5.13603030990648
"SCT_0023",4.92689955879533
"SCT_0024",5.05020146032107
"SCT_0025",5.08906923164062
"SCT_0026",5.05383251121015
"SCT_0027",5.09514262092148
"SCT_0028",5.67485469228072
"SCT_0029",5.44603309363009
"SCT_0030",5.7092618103924
"SCT_0031",5.2081762762963
"SCT_0032",4.65896161005204
"SCT_0033",5.42911946778621
"SCT_0034",5.09829755223089
"SCT_0035",5.19933147404464
"SCT_0036",5.13616349393944
"SCT_0037",4.91543827574553
"SCT_0038",4.7866111880162
"SCT_0039",4.66377580618734
"SCT_0040",5.58010425632134
"SCT_0041",5.00238624430131
"SCT_0042",5.18490640187176
"SCT_0043",5.98304545984002
"SCT_0044",4.96712620353431
"SCT_0045",5.34011623827034
"SCT_0046",5.57179373599096
"SCT_0047",5.00593062809867
"SCT_0048",5.30845438842993
"SCT_0049",5.10861173178328
"SCT_0050",4.65217313788289
"SCT_0051",5.15916612875843
"SCT_0052",5.08633423108688
"SCT_0053",4.96300749054449
"SCT_0054",5.17127370447927
"SCT_0055",5.12575891824518
"SCT_0056",5.38740619232357
"SCT_0057",5.22162641897409
"SCT_0058",5.41455335043957
"SCT_0059",5.04880659317189
"SCT_0060",5.25972671963146
"SCT_0061",4.94562988010797
"SCT_0062",5.35505327119518
"SCT_0063",4.96067796934055
"SCT_0064",5.42692385317605
"SCT_0065",4.70623858664718
"SCT_0066",5.26199623537959
"SCT_0067",4.9969797461182
"SCT_0068",5.66082536048817
"SCT_0069",5.40197412731059
"SCT_0070",5.13184556445902
"SCT_0071",5.25680702258052
"SCT_0072",5.14546331448753
"SCT_0073",5.19957182642885
"SCT_0074",5.04427291267834
"SCT_0075",5.38673042888272
"SCT_0076",5.26671957515016
"SCT_0077",5.11259545029013
"SCT_0078",5.1133610107514
"SCT_0079",5.2283587743192
"SCT_0080",5.05318276567716
"SCT_0081",4.97471784832551
"SCT_0082",4.9912631328568
"SCT_0083",5.37666087928337
"SCT_0084",5.2805859848231
"SCT_0085",5.25570021323351
"SCT_0086",5.63708691216592
"SCT_0087",4.86379538206765
"SCT_0088",5.14081175757332
"SCT_0089",5.26863650415184
"SCT_0090",5.41061445844296
"SCT_0091",4.9686276363692
"SCT_0092",5.03741850051091
"SCT_0093",5.11138557140804
"SCT_0094",5.28455872036774
"SCT_0095",5.55843605923758
"SCT_0096",5.61304349205832
"SCT_0097",5.03091472086362
"SCT_0098",4.74622569670703
"SCT_0099",5.60353831639802
"SCT_0100",5.47681503168532
"SCT_0101",5.44375815840081
"SCT_0102",5.0575731580067
"SCT_0103",5.35120039075056
"SCT_0104",5.23226777158786
"SCT_0105",5.41453056562376
"SCT_0106",5.09103537845276
"SCT_0107",5.19332203681126
"SCT_0108",5.17809558065661
"SCT_0109",5.21762577090238
"SCT_0110",5.44945615166636
"SCT_0111",5.67501586084072
"SCT_0112",5.20834902693998
"SCT_0113",4.90881002482677
"SCT_0114",5.11574727528321
"SCT_0115",5.27316022451428
"SCT_0116",5.11730488645935
"SCT_0117",4.79144296925608
"SCT_0118",4.74228343943011
"SCT_0119",5.36407880241389
"SCT_0120",5.16202043491944
"SCT_0121",5.75329411507598
"SCT_0122",4.62217734690396
"SCT_0123",4.64531052801531
"SCT_0124",5.44703785275158
"SCT_0125",5.20048224149066
"SCT_0126",5.35680578967346
"SCT_0127",5.58597683843151
"SCT_0128",5.70393984174518
"SCT_0129",4.72909454891864
"SCT_0130",5.17972640780821
"SCT_0131",5.37143693055698
"SCT_0132",6.40856760876109
"SCT_0133",4.69007439028669
"SCT_0134",5.49746755868534
"SCT_0135",5.4208086388954
"SCT_0136",5.25178337851302
"SCT_0137",5.02463957710247
"SCT_0138",5.22379126734278
"SCT_0139",5.66468022313367
"SCT_0140",5.19271677872716
"SCT_0141",4.53190404236582
"SCT_0142",5.30153953855841
"SCT_0478",5.20154940181396
